Results_Name,VSPAERO_History
Results_Timestamp,1786975819
Results_Date,8,17,2026
Results_Time,19,40,19
Alpha,-2.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00
Beta,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CDi,0.000000000000000000e+00,3.085847331000000048e-03,3.159908414999999977e-03,3.170530529000000017e-03,3.177294819999999971e-03,3.181413608999999858e-03,3.181097246999999798e-03,3.182061875999999886e-03,3.180848329999999991e-03,3.178838346000000155e-03,3.177723813000000140e-03,3.177983067999999838e-03,3.178452108000000016e-03,3.177490665000000207e-03,3.176839221999999859e-03,3.175596145000000002e-03,3.175427533999999798e-03,3.175198206000000214e-03,3.174904654000000083e-03,3.174618623999999820e-03
CDiw,0.000000000000000000e+00,2.276053510999999797e-03,2.333973527000000100e-03,2.337701616999999892e-03,2.348155606999999950e-03,2.353130608999999887e-03,2.354708496999999810e-03,2.355180786000000016e-03,2.355338038000000071e-03,2.355691334000000001e-03,2.356033513000000117e-03,2.355714806999999883e-03,2.355925678999999922e-03,2.356059772000000142e-03,2.356107635000000144e-03,2.356237910000000008e-03,2.356257394000000217e-03,2.356180500999999986e-03,2.356143670000000138e-03,2.356068642999999824e-03
CDo,7.662745769000000283e-03,8.337200067000000506e-03,8.339484155000000121e-03,8.337058748000000102e-03,8.336204289000000850e-03,8.335845898999999157e-03,8.335666292999999519e-03,8.335604170000000118e-03,8.335597303000000236e-03,8.335610089000000320e-03,8.335603545000000447e-03,8.335608274999999762e-03,8.335612940000000637e-03,8.335607784000000423e-03,8.335600420000000357e-03,8.335595862000000356e-03,8.335591171000000452e-03,8.335589645000000478e-03,8.335592076000000739e-03,8.335594866000000866e-03
CDtot,7.662745769000000283e-03,1.142304739799999969e-02,1.149939256999999923e-02,1.150758927800000012e-02,1.151349910899999995e-02,1.151725950799999988e-02,1.151676354000000062e-02,1.151766604600000000e-02,1.151644563299999979e-02,1.151444843600000004e-02,1.151332735900000015e-02,1.151359134300000003e-02,1.151406504800000022e-02,1.151309844899999976e-02,1.151243964199999935e-02,1.151119200699999949e-02,1.151101870500000068e-02,1.151078785000000070e-02,1.151049673100000038e-02,1.151021349000000069e-02
CDwtot,7.662745769000000283e-03,1.061325357799999987e-02,1.067345768200000065e-02,1.067476036500000086e-02,1.068435989600000080e-02,1.068897650899999947e-02,1.069037479000000020e-02,1.069078495599999970e-02,1.069093534099999944e-02,1.069130142299999989e-02,1.069163705899999969e-02,1.069132308199999964e-02,1.069153861899999926e-02,1.069166755599999970e-02,1.069170805500000050e-02,1.069183377199999993e-02,1.069184856399999980e-02,1.069177014499999960e-02,1.069173574699999914e-02,1.069166350900000069e-02
CFxi,0.000000000000000000e+00,1.112917610499999932e-02,1.117628895699999958e-02,1.120825733899999919e-02,1.122704150900000024e-02,1.123744349000000038e-02,1.123948263999999947e-02,1.124142579999999961e-02,1.124071837500000004e-02,1.123893608700000067e-02,1.123795738100000045e-02,1.123828702200000036e-02,1.123880262900000052e-02,1.123785506700000075e-02,1.123721196800000002e-02,1.123598590299999984e-02,1.123580717000000062e-02,1.123560091700000034e-02,1.123530937500000042e-02,1.123504556400000028e-02
CFxiw,0.000000000000000000e+00,1.034651498599999976e-02,1.037389473600000035e-02,1.039900735300000080e-02,1.042112409499999955e-02,1.043224614199999949e-02,1.043613590999999986e-02,1.043757539699999987e-02,1.043823598100000055e-02,1.043881757100000029e-02,1.043929420300000049e-02,1.043904876500000023e-02,1.043930742699999970e-02,1.043945524499999972e-02,1.043951133100000025e-02,1.043965890000000084e-02,1.043966826799999983e-02,1.043961389200000027e-02,1.043957887899999923e-02,1.043952557500000058e-02
CFxo,7.662857331000000327e-03,8.337183830000000767e-03,8.339470535000000767e-03,8.337044015999999988e-03,8.336188896999999903e-03,8.335830190000000778e-03,8.335650457000000346e-03,8.335588284000000278e-03,8.335581393000000491e-03,8.335594170000000178e-03,8.335587619000000767e-03,8.335592346999999222e-03,8.335597013000000527e-03,8.335591854999999453e-03,8.335584487999999834e-03,8.335579928000000707e-03,8.335575237000000803e-03,8.335573708999999970e-03,8.335576141000000661e-03,8.335578928999999929e-03
