Results_Name,VSPAERO_History
Results_Timestamp,1786946838
Results_Date,8,17,2026
Results_Time,11,37,18
Alpha,-2.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00
Beta,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CDi,0.000000000000000000e+00,2.453540438000000132e-03,2.425531793000000168e-03,2.477770936999999958e-03,2.475225939999999882e-03,2.474681812000000068e-03,2.477188573999999834e-03,2.476246149999999924e-03,2.478363981999999899e-03,2.475571693000000028e-03,2.475726980000000129e-03,2.476176328000000062e-03,2.476671753000000194e-03,2.476849854000000208e-03,2.474439711999999909e-03,2.474927449999999966e-03,2.476773593000000055e-03,2.476864191000000166e-03,2.474498893999999786e-03,2.476852029000000191e-03
CDiw,0.000000000000000000e+00,2.046995943999999935e-03,2.037173837999999883e-03,2.084586917000000057e-03,2.084789482999999891e-03,2.086187260000000026e-03,2.086692008000000202e-03,2.086901326999999941e-03,2.086852219000000144e-03,2.086855088999999951e-03,2.086786976000000200e-03,2.086779780999999893e-03,2.086814577000000066e-03,2.086794880999999838e-03,2.086490633999999941e-03,2.086629933000000176e-03,2.086789133999999817e-03,2.086797509000000179e-03,2.086490547999999851e-03,2.086787970000000131e-03
CDo,7.533642487000000339e-03,8.130457780999999703e-03,8.137124961999999545e-03,8.142678356999999423e-03,8.141158331000000747e-03,8.141034611000000712e-03,8.141024332999999280e-03,8.141028530000000291e-03,8.141032468999999730e-03,8.141045366999999366e-03,8.141015999000000489e-03,8.141008548999999900e-03,8.141025456999999993e-03,8.141051729999999528e-03,8.140991893000000534e-03,8.140993806000000263e-03,8.141027884000000270e-03,8.141054473000000277e-03,8.140992647000000124e-03,8.141028143999999231e-03
CDtot,7.533642487000000339e-03,1.058399821899999940e-02,1.056265675500000015e-02,1.062044929299999982e-02,1.061638427099999976e-02,1.061571642300000035e-02,1.061821290600000085e-02,1.061727468100000064e-02,1.061939645199999963e-02,1.061661705999999983e-02,1.061674297899999932e-02,1.061718487700000040e-02,1.061769721000000062e-02,1.061790158299999974e-02,1.061543160499999958e-02,1.061592125699999979e-02,1.061780147699999989e-02,1.061791866399999958e-02,1.061549154000000078e-02,1.061788017399999985e-02
CDwtot,7.533642487000000339e-03,1.017745372500000051e-02,1.017429880000000030e-02,1.022726527400000078e-02,1.022594781400000020e-02,1.022722187199999987e-02,1.022771634100000035e-02,1.022792985700000067e-02,1.022788468800000031e-02,1.022790045599999975e-02,1.022780297500000025e-02,1.022778832999999936e-02,1.022784003399999919e-02,1.022784661000000067e-02,1.022748252700000048e-02,1.022762374000000044e-02,1.022781701799999922e-02,1.022785198200000002e-02,1.022748319400000085e-02,1.022781611399999936e-02
CFxi,0.000000000000000000e+00,9.942058058999999476e-03,1.009148525999999969e-02,1.007076879500000063e-02,1.007560048599999945e-02,1.007718924899999972e-02,1.008037436699999942e-02,1.007962683499999922e-02,1.008183495500000054e-02,1.007915405400000054e-02,1.007901007200000081e-02,1.007940174300000005e-02,1.008006475399999928e-02,1.008051260999999997e-02,1.007750870799999955e-02,1.007795513900000030e-02,1.008018165599999967e-02,1.008055782000000060e-02,1.007757861900000079e-02,1.008026208099999967e-02
CFxiw,0.000000000000000000e+00,9.540317777000000346e-03,9.709176724999999189e-03,9.683890283000000723e-03,9.691541433000000136e-03,9.695082691999999669e-03,9.696276671999999250e-03,9.696678546000000662e-03,9.696721805000000846e-03,9.696832049999999648e-03,9.696467554999999364e-03,9.696402196000000751e-03,9.696600866000000540e-03,9.696849898999999884e-03,9.695954213999999696e-03,9.696053172999999359e-03,9.696590019999999643e-03,9.696882966999999590e-03,9.695964750999999660e-03,9.696590780000000076e-03
CFxo,7.533675234000000026e-03,8.130378250999999168e-03,8.137042104000000164e-03,8.142598649999999161e-03,8.141078225999999474e-03,8.140954401999999854e-03,8.140944094999999839e-03,8.140948283999999147e-03,8.140952223000000321e-03,8.140965115999999543e-03,8.140935752000000650e-03,8.140928303000000490e-03,8.140945211000000584e-03,8.140971478999999705e-03,8.140911646000000695e-03,8.140913561999999978e-03,8.140947638999999555e-03,8.140974222000000454e-03,8.140912398999999855e-03,8.140947897999999822e-03
