Results_Name,VSPAERO_History
Results_Timestamp,1786947592
Results_Date,8,17,2026
Results_Time,11,49,52
Alpha,-2.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00
Beta,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CDi,0.000000000000000000e+00,2.350205322000000190e-03,2.487309256999999888e-03,2.477460278000000096e-03,2.486124142000000013e-03,2.486962298999999786e-03,2.486952992000000112e-03,2.486625384999999883e-03,2.486641603000000131e-03,2.486816340000000142e-03,2.486801613000000008e-03,2.486812260999999961e-03,2.486809417000000050e-03,2.486785444999999994e-03,2.486767590000000215e-03,2.486723034000000009e-03,2.486660895999999801e-03,2.486773606000000029e-03,2.486708476000000067e-03,2.486735643999999929e-03
CDiw,0.000000000000000000e+00,2.024107698000000063e-03,2.087743670999999898e-03,2.074901051999999881e-03,2.082073629999999908e-03,2.083189964000000099e-03,2.083467979999999858e-03,2.083544614999999819e-03,2.083558491999999880e-03,2.083566117000000203e-03,2.083567157999999947e-03,2.083567799999999984e-03,2.083566483000000042e-03,2.083565007999999864e-03,2.083563810999999877e-03,2.083562595999999961e-03,2.083555722000000106e-03,2.083559304000000105e-03,2.083551063000000075e-03,2.083547392999999994e-03
CDo,7.610658507999999885e-03,8.220018750000000415e-03,8.222552600000000364e-03,8.219294387000000007e-03,8.218864156999999143e-03,8.218769799999999306e-03,8.218756711000000867e-03,8.218750756999999504e-03,8.218748772000000063e-03,8.218747963999999823e-03,8.218747226000000169e-03,8.218747040000000045e-03,8.218746743000000798e-03,8.218746514999999975e-03,8.218746398000000009e-03,8.218746166999999631e-03,8.218745983000000366e-03,8.218745991000000334e-03,8.218745678999999846e-03,8.218745463999999404e-03
CDtot,7.610658507999999885e-03,1.057022407299999973e-02,1.070986185800000025e-02,1.069675466500000054e-02,1.070498829999999915e-02,1.070573209899999996e-02,1.070570970299999924e-02,1.070537614199999939e-02,1.070539037500000019e-02,1.070556430399999953e-02,1.070554884000000061e-02,1.070555930099999914e-02,1.070555616099999954e-02,1.070553195899999997e-02,1.070551398799999936e-02,1.070546920100000007e-02,1.070540688000000060e-02,1.070551959800000036e-02,1.070545415399999992e-02,1.070548110800000063e-02
CDwtot,7.610658507999999885e-03,1.024412644799999918e-02,1.031029627100000026e-02,1.029419543900000032e-02,1.030093778699999948e-02,1.030195976399999984e-02,1.030222469100000073e-02,1.030229537199999976e-02,1.030230726400000081e-02,1.030231408100000003e-02,1.030231438400000012e-02,1.030231484100000046e-02,1.030231322700000084e-02,1.030231152300000071e-02,1.030231020899999989e-02,1.030230876299999959e-02,1.030230170499999917e-02,1.030230529499999957e-02,1.030229674099999992e-02,1.030229285699999983e-02
CFxi,0.000000000000000000e+00,9.968919991999999203e-03,1.001525792300000071e-02,1.003745564500000027e-02,1.005212673799999942e-02,1.005505142899999933e-02,1.005574215200000059e-02,1.005559028299999984e-02,1.005563714999999948e-02,1.005581168100000075e-02,1.005579334599999985e-02,1.005580170999999939e-02,1.005579472299999999e-02,1.005576784500000070e-02,1.005574840200000077e-02,1.005570128499999952e-02,1.005563739999999935e-02,1.005574855599999928e-02,1.005568475800000007e-02,1.005570287599999967e-02
CFxiw,0.000000000000000000e+00,9.643866079000000188e-03,9.624022798000000586e-03,9.650613912000000419e-03,9.668374986999999504e-03,9.671276588000000604e-03,9.672175691000000144e-03,9.672406944999999839e-03,9.672445611000000595e-03,9.672451444000000273e-03,9.672448365000000867e-03,9.672446580999999322e-03,9.672441072000000084e-03,9.672436628999999189e-03,9.672433793000000113e-03,9.672429950000000290e-03,9.672421198000000567e-03,9.672423375999999670e-03,9.672416341999999154e-03,9.672403648000000437e-03
CFxo,7.610738286999999859e-03,8.219983404000000271e-03,8.222522467999999335e-03,8.219262317999999345e-03,8.218831492000000863e-03,8.218737053000000486e-03,8.218723936000000424e-03,8.218717974000000828e-03,8.218715987999999223e-03,8.218715180000000717e-03,8.218714442999999759e-03,8.218714256999999634e-03,8.218713960000000388e-03,8.218713730999999134e-03,8.218713613999999168e-03,8.218713383999999220e-03,8.218713199999999955e-03,8.218713207999999923e-03,8.218712895000000740e-03,8.218712681000000728e-03
