Name, Theo_Area, Wet_Area, Theo_Vol, Wet_Vol
Fuselage,48.448179,44.528901,16.747698,16.444561
MainWing,62.635430,59.598507,6.486771,6.486771
HTail,17.497272,16.074312,0.965144,0.947233
VTail,8.546772,7.916717,0.488311,0.483217
Totals,137.127653,128.118438,24.687924,24.361791
