Results_Name,VSPAERO_History
Results_Timestamp,1786902353
Results_Date,8,16,2026
Results_Time,23,15,53
Alpha,-2.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00
Beta,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CDi,0.000000000000000000e+00,2.232089174000000207e-03,2.107858907000000059e-03,2.148457761999999875e-03,2.147467795999999981e-03,2.148084272999999968e-03,2.148196586000000047e-03,2.148182467000000085e-03,2.143903214999999963e-03,2.141445946000000190e-03,2.143683418000000025e-03,2.141837710999999929e-03
CDiw,0.000000000000000000e+00,1.719027623000000038e-03,1.663940660000000002e-03,1.706194184999999981e-03,1.708682886999999921e-03,1.709887195000000084e-03,1.710273428000000026e-03,1.710368058000000073e-03,1.710222424999999994e-03,1.710229849000000036e-03,1.710222217999999954e-03,1.710421779000000087e-03
CDo,7.533642487000000339e-03,8.037771819000000609e-03,8.038131724999999714e-03,8.041566498000000604e-03,8.040913711000000422e-03,8.040735852000000308e-03,8.040716834000000840e-03,8.040708888999999193e-03,8.040678698999999263e-03,8.040677701000000649e-03,8.040677625999999648e-03,8.040707989999999750e-03
CDtot,7.533642487000000339e-03,1.026986099300000038e-02,1.014599063199999977e-02,1.019002425999999961e-02,1.018838150700000084e-02,1.018882012499999941e-02,1.018891341900000046e-02,1.018889135600000058e-02,1.018458191400000053e-02,1.018212364699999997e-02,1.018436104399999924e-02,1.018254570100000055e-02
CDwtot,7.533642487000000339e-03,9.756799442000000863e-03,9.702072384999999716e-03,9.747760682999999718e-03,9.749596597999999475e-03,9.750623047999999737e-03,9.750990261000000436e-03,9.751076947000000134e-03,9.750901124000000558e-03,9.750907548999999605e-03,9.750899844000000469e-03,9.751129768999999836e-03
CFxi,0.000000000000000000e+00,9.028925365000000855e-03,8.881890789000000674e-03,8.856970514999999711e-03,8.859414887999999405e-03,8.862670079000000561e-03,8.863242945999999164e-03,8.863417630000000255e-03,8.858788365000000095e-03,8.856328368000000381e-03,8.858560386000000758e-03,8.857125912000000240e-03
CFxiw,0.000000000000000000e+00,8.521564614999999412e-03,8.446954666999999944e-03,8.423629858999999789e-03,8.429667664999999574e-03,8.433499795000000410e-03,8.434346941000000694e-03,8.434628728000000131e-03,8.434127779999999949e-03,8.434127471999999445e-03,8.434121396999999867e-03,8.434725528000000180e-03
CFxo,7.533675234000000026e-03,8.037713900000000022e-03,8.038074370000000343e-03,8.041511702999999678e-03,8.040858721000000708e-03,8.040680733999999372e-03,8.040661694999999554e-03,8.040653741999999674e-03,8.040623553000000173e-03,8.040622554999999824e-03,8.040622479000000128e-03,8.040652840999999371e-03
