PARASITE DRAG BUILD UP DATA 

Mach, Altitude (m), Vinf (KTAS), S_ref (m^2)
0.202557, 2600.000000, 130.000000, 30.000000 

Temp (F), Pressure (lbf/ft^2), Density (kg/m^3) 
28.580000, 1540.278267, 0.947145 

Lam Cf Eqn, Turb Cf Eqn 
Laminar Blasius, Spalding Explicit Empirical Fit 

Component Name,S_wet (m^2),L_ref (m),t/c or d/l,FF,FF Eqn Type,Re,% Lam,Cf,Q (Interference Factor),f (m^2),Cd,% Total 
Nacelle_L,3.717623, 2.200000, 3.141637,1.495126, Hoerner Streamlined Body,8165334.902140, 0.000000,0.003047, 1.000000,0.016934, 0.000564, 2.973227 
Nacelle_L_0,3.717623, 2.200000, 3.141637,1.495126, Hoerner Streamlined Body,8165334.902140, 0.000000,0.003047, 1.000000,0.016934, 0.000564, 2.973227 
LiftStrut_Pair,4.260804, 0.284617, 0.162631,1.367234, Hoerner,1056361.849354, 0.000000,0.004278, 1.000000,0.024921, 0.000831, 4.375476 
LiftStrut_Pair_0,2.130402, 0.284617, 0.162631,1.367234, Hoerner,1056361.849354, 0.000000,0.004278, 1.000000,0.012461, 0.000415, 2.187738 
LiftStrut_Pair_1,2.130402, 0.284617, 0.162631,1.367234, Hoerner,1056361.849354, 0.000000,0.004278, 1.000000,0.012461, 0.000415, 2.187738 
MainGearLeg_Pair,0.972762, 0.211339, 0.228827,1.622161, Hoerner,784389.111744, 0.000000,0.004518, 1.000000,0.007129, 0.000238, 1.251689 
MainGearLeg_Pair_0,0.486381, 0.211339, 0.228827,1.622161, Hoerner,784389.111744, 0.000000,0.004518, 1.000000,0.003565, 0.000119, 0.625844 
MainGearLeg_Pair_1,0.486381, 0.211339, 0.228827,1.622161, Hoerner,784389.111744, 0.000000,0.004518, 1.000000,0.003565, 0.000119, 0.625844 
MainWheel_Pair,1.362527, 0.600000, 1.437287,4.228099, Hoerner Streamlined Body,2226909.518765, 0.000000,0.003754, 1.000000,0.021629, 0.000721, 3.797399 
MainWheel_Pair_0,0.681263, 0.600000, 1.437287,4.228099, Hoerner Streamlined Body,2226909.518765, 0.000000,0.003754, 1.000000,0.010814, 0.000360, 1.898699 
MainWheel_Pair_1,0.681263, 0.600000, 1.437287,4.228099, Hoerner Streamlined Body,2226909.518765, 0.000000,0.003754, 1.000000,0.010814, 0.000360, 1.898699 
NoseGearLeg,0.136799, 0.200625, 0.218934,1.575719, Hoerner,744622.870337, 0.000000,0.004562, 1.000000,0.000983, 0.000033, 0.172650 
NoseGearLeg_0,0.136799, 0.200625, 0.218934,1.575719, Hoerner,744622.870337, 0.000000,0.004562, 1.000000,0.000983, 0.000033, 0.172650 
NoseWheel,0.460059, 0.500000, 1.463904,4.078194, Hoerner Streamlined Body,1855757.932304, 0.000000,0.003873, 1.000000,0.007267, 0.000242, 1.275850 
NoseWheel_0,0.460059, 0.500000, 1.463904,4.078194, Hoerner Streamlined Body,1855757.932304, 0.000000,0.003873, 1.000000,0.007267, 0.000242, 1.275850 

Excrescences, Type, Input

 , , , , , , , , , Geometry Sub-Total:, 0.569563, 0.018985, 100.000000 
 , , , , , , , , , Excrescence Sub-Total:, 0.000000, 0.000000, 0.000000 
 , , , , , , , , , Totals:, 0.569563, 0.018985, 100.000000 
